ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_TOTAL,2015,60.1,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_Y15-24,2015,48.7,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_Y25-54,2015,57.5,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_Y55-64,2015,72.2,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_YGE65,2015,96.7,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE15,2016,61.6,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-24,2016,58.1,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE25,2016,62,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_YGE15,2016,63.8,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_Y15-24,2016,66,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_YGE25,2016,63.6,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_YGE15,2016,58.9,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_Y15-24,2016,45.6,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_YTHADULT_YGE25,2016,59.9,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_TOTAL,2016,61.6,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_Y15-24,2016,58.1,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_Y25-54,2016,58.8,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_Y55-64,2016,69.1,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_AGGREGATE_YGE65,2016,93.2,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_TOTAL,2016,63.8,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_Y15-24,2016,66,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_Y25-54,2016,61.6,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_Y55-64,2016,65.2,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_AGGREGATE_YGE65,2016,91.1,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_TOTAL,2016,58.9,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_Y15-24,2016,45.6,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_Y25-54,2016,55.6,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_Y55-64,2016,75.8,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_F,AGE_AGGREGATE_YGE65,2016,98,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE15,2017,58.7,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-24,2017,52.1,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE25,2017,59.3,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_YGE15,2017,61.1,,,,R1:3513
ALB,EMP_NIFL_SEX_AGE_RT,BA:480,SEX_M,AGE_YTHADULT_Y15-24,2017,59.9,,,,R1:3513
